id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
11558688,1BS Apartmán s výhledem na moře,24323565,Ludek,,Este,36.71435,-4.30899,Entire home/apt,180,2,0,,,11,307,0,CTC-201665087
50532843,Soleado apartamento reformado 2 hab. en Playamar,248888131,Ana,,Churriana,36.64154,-4.48172,Entire home/apt,189,3,23,2022-06-12,1.99,7,299,23,VFT/MA/41924
50301259,Estudio céntrico  en  Torremolinos - Netflix,147751213,Monica,,Churriana,36.62203,-4.50028,Entire home/apt,91,2,7,2022-06-26,0.66,1,334,7,VFT/MA/45348
33822238,Amplia y luminosa casa de pueblo,17786480,Alessandra,,Este,36.76578,-4.29706,Entire home/apt,50,2,31,2021-08-16,0.80,1,6,3,CTC-2019064198
49710950,Apartamento céntrico con vistas increíbles al mar.,400888662,Melanie,,Churriana,36.62206,-4.49941,Entire home/apt,127,1,42,2022-06-20,3.23,1,190,40,VFT/MA/18104
623716729588081093,San Enrique - City life,338713260,Béat & José,,Churriana,36.6230354309082,-4.500744819641113,Entire home/apt,89,3,0,,,2,274,0,VFT/MA/51970
17835783,NEW APARTMENT NEAR THE BEACH & TRAIN STATION,99874295,Kumar,,Churriana,36.63897,-4.49221,Entire home/apt,111,3,85,2022-06-14,1.41,1,305,20,VFT/MA/12552
19480369,"Zambrana Country House  - "" Salt and heated pool """,131051855,Javier,,Campanillas,36.73955,-4.6003,Entire home/apt,451,7,75,2021-09-12,1.24,1,121,3,CTC-2017086448
38513223,Dess Playa,177034730,Dess,,Churriana,36.63155,-4.4933,Entire home/apt,150,5,0,,,1,38,0,CTC-2018016411
32520118,"Precioso Apartamento en Playamar, Torremolinos",244355090,Ana,,Churriana,36.62835,-4.49606,Entire home/apt,113,5,9,2021-08-24,0.22,1,189,2,CTC-2019026078
603244148153396963,"Modern and stylish property, car optional",266459123,James Villas,,Churriana,36.63534,-4.50127,Entire home/apt,532,1,0,,,3,297,0,VFT/MA/30892
26857349,Saturno´s Dream (8 pax) 4min. a pie de la playa,146586328,Antonio,,Churriana,36.63626,-4.48946,Entire home/apt,264,3,92,2022-06-20,1.92,6,263,27,VFT/MA/16866
5782370,Reformed stables with pool & views,26534095,Angela,,Este,36.88135,-4.29512,Entire home/apt,68,3,26,2022-04-19,0.30,3,174,5,CR/MA/1803
589754562572671847,MalagaSuite Deluxe&Pool,45749342,Malagasuite Showroom Apartments,,Churriana,36.6286,-4.49642,Entire home/apt,103,1,0,,,31,317,0,VFT/MA/23022
654274081922063529,Property in Torremolinos,270230553,Linda - BELVILLA,,Churriana,36.63197,-4.48938,Entire home/apt,132,1,0,,,2,355,0,VFT/MA/52632
32498254,Ático de bellas vistas,244178983,Sebastian,,Churriana,36.63313,-4.49673,Entire home/apt,124,3,2,2021-08-10,0.05,1,314,1,CTC-2017085844
603280661129032969,fabulous couple's retreat in an ideal location,266459123,James Villas,,Churriana,36.63351,-4.50316,Entire home/apt,483,1,0,,,3,301,0,VFT/MA/28898
47838677,"Villa Mamba By Seric,15' walking to the beach",237240224,Chemy,,Churriana,36.6347,-4.50239,Entire home/apt,713,5,11,2022-05-01,0.85,4,283,10,VFT/MA/44854
25992899,"Villa,heated and private pool,near beach and golf!",176253853,Fermín,,Churriana,36.65705,-4.53843,Entire home/apt,373,5,35,2022-05-23,0.73,1,271,12,VFT/MA/20980
